activityID,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetX,magnetY,magnetZ
1,2.30106,7.25857,6.09259,-0.0699614,-0.0183275,0.00458168,9.15626,-67.1825,-20.0857
1,2.24615,7.4818,5.55219,-0.431227,0.00268486,-0.0629637,9.14612,-67.3936,-20.5508
1,2.3,7.10681,6.09309,0.0756916,-0.0307922,0.00524599,9.69163,-67.0898,-21.2481
1,2.49455,7.52335,6.17157,-0.259058,-0.267895,-0.0385328,9.58694,-67.0882,-20.8997
1,2.71654,8.30596,4.78671,0.377115,-0.0236877,-0.0206695,8.59622,-67.1486,-20.1947
1,2.54954,7.63122,5.55623,-0.487667,-0.0199578,-0.0894997,9.00159,-66.0543,-22.5021
1,2.82407,6.1449,5.06502,-0.781563,0.198873,-0.213285,10.5845,-63.7955,-27.5879
1,2.73626,7.94195,6.52017,-0.472414,0.279868,0.0365265,12.2658,-64.6618,-27.0379
1,2.38894,7.4883,6.40103,0.358279,1.04661,0.346204,12.1033,-62.2186,-30.1344
1,1.8132,6.85639,7.35672,0.360442,1.2873,0.129226,14.9204,-62.7273,-28.6676
1,0.0125249,5.2733,6.95022,0.440524,1.19843,0.100664,16.6466,-63.2981,-25.9161
1,-0.530751,7.62191,6.04895,0.179548,1.05112,0.231209,18.111,-64.9924,-19.2388
1,-1.65419,7.6992,5.22362,1.51583,0.836144,0.283502,18.1058,-65.8251,-13.6928
1,-1.09215,7.20128,5.19524,1.22541,0.656149,0.190338,17.0806,-68.1161,-8.61366
1,-1.95669,7.61597,4.14173,1.09275,0.672901,0.275213,16.3628,-67.5333,0.0804933
1,-2.21539,10.3463,3.74377,1.16343,0.575842,-0.0712633,16.1651,-67.1744,6.91462
1,-2.15746,10.3034,3.24444,-0.0303774,0.646188,0.477773,13.2459,-66.3019,11.4709
1,-1.21857,8.51464,3.45698,-0.43637,0.737053,0.394351,7.77774,-66.9662,11.6421
1,-1.65573,8.18139,3.99038,-0.996145,0.76686,0.647873,3.3839,-67.666,9.71746
1,-1.70961,10.2606,3.09735,0.425287,0.340922,0.338503,-1.19773,-68.1595,9.53315
1,-1.47777,9.27547,3.45053,-0.682023,0.477669,0.544875,-6.09828,-66.6807,9.72094
1,-0.267412,8.28172,3.70294,0.616692,0.256665,-0.285073,-7.2282,-67.2607,9.14899
1,-1.35149,9.53317,2.6818,0.582224,-0.179547,-0.13165,-4.89811,-66.8051,13.9878
1,-1.55567,9.45506,2.25565,-0.0813367,0.0792835,0.00340619,-4.15865,-65.0384,17.1231
1,-1.72162,9.3108,2.94642,-0.363568,0.0274811,-0.056266,-4.25988,-64.2754,17.4796
1,-0.783254,7.06744,3.23746,0.0514377,-0.159693,-0.313417,-3.7211,-64.949,16.6561
1,-2.62426,11.7708,1.46208,0.781973,-0.386241,-0.862683,2.98438,-62.7985,22.2732
1,-2.72424,10.8282,2.04108,0.17744,-0.016879,-0.130014,6.25323,-61.591,23.6375
1,-2.89215,10.2852,0.577871,-0.165895,0.414537,0.443457,4.63836,-63.0999,21.3252
1,-2.2577,8.94417,3.90181,-0.944305,0.590783,0.898559,-2.51854,-64.3479,15.2601
1,-0.635943,8.09763,4.00594,-1.9383,0.417802,0.812309,-9.7315,-66.32,6.52604
1,-0.655872,6.90026,5.85707,1.45232,-0.122614,-0.0800105,-12.3144,-66.7416,0.185998
1,-1.2831,8.1295,2.76454,1.73944,-0.15029,-0.894369,-8.57012,-65.0709,14.1643
1,-0.985248,8.19202,1.53719,0.458043,-0.421872,-0.405979,-3.13772,-62.562,23.0402
1,-2.65024,9.65322,2.23858,0.0965155,-0.279247,-0.280757,0.865884,-62.4583,22.3011
1,-1.5714,10.5775,0.481207,-0.168466,0.166414,0.274143,0.869299,-63.2246,22.64
1,-0.937059,9.67136,1.53292,-1.15473,0.379803,0.333328,-3.37761,-64.5381,17.0038
1,-1.48798,7.69204,4.57185,-0.980478,0.390428,0.304194,-5.61178,-66.226,6.01696
1,-2.16205,8.19117,4.63705,-0.480213,-0.0568123,0.23362,-8.25723,-66.4576,2.10998
1,-0.265903,8.9357,4.70143,-0.242415,0.0575507,0.0457231,-8.98652,-66.4855,-0.890914
