@relation old-faithful_clustered

@attribute Instance_number numeric
@attribute eruptions numeric
@attribute waiting numeric
@attribute Cluster {cluster0,cluster1}

@data
0,3.6,79,cluster0
1,1.8,54,cluster1
2,3.333,74,cluster0
3,2.283,62,cluster1
4,4.533,85,cluster0
5,2.883,55,cluster1
6,4.7,88,cluster0
7,3.6,85,cluster0
8,1.95,51,cluster1
9,4.35,85,cluster0
10,1.833,54,cluster1
11,3.917,84,cluster0
12,4.2,78,cluster0
13,1.75,47,cluster1
14,4.7,83,cluster0
15,2.167,52,cluster1
16,1.75,62,cluster1
17,4.8,84,cluster0
18,1.6,52,cluster1
19,4.25,79,cluster0
20,1.8,51,cluster1
21,1.75,47,cluster1
22,3.45,78,cluster0
23,3.067,69,cluster0
24,4.533,74,cluster0
25,3.6,83,cluster0
26,1.967,55,cluster1
27,4.083,76,cluster0
28,3.85,78,cluster0
29,4.433,79,cluster0
30,4.3,73,cluster0
31,4.467,77,cluster0
32,3.367,66,cluster0
33,4.033,80,cluster0
34,3.833,74,cluster0
35,2.017,52,cluster1
36,1.867,48,cluster1
37,4.833,80,cluster0
38,1.833,59,cluster1
39,4.783,90,cluster0
40,4.35,80,cluster0
41,1.883,58,cluster1
42,4.567,84,cluster0
43,1.75,58,cluster1
44,4.533,73,cluster0
45,3.317,83,cluster0
46,3.833,64,cluster0
47,2.1,53,cluster1
48,4.633,82,cluster0
49,2,59,cluster1
50,4.8,75,cluster0
51,4.716,90,cluster0
52,1.833,54,cluster1
53,4.833,80,cluster0
54,1.733,54,cluster1
55,4.883,83,cluster0
56,3.717,71,cluster0
57,1.667,64,cluster1
58,4.567,77,cluster0
59,4.317,81,cluster0
60,2.233,59,cluster1
61,4.5,84,cluster0
62,1.75,48,cluster1
63,4.8,82,cluster0
64,1.817,60,cluster1
65,4.4,92,cluster0
66,4.167,78,cluster0
67,4.7,78,cluster0
68,2.067,65,cluster1
69,4.7,73,cluster0
70,4.033,82,cluster0
71,1.967,56,cluster1
72,4.5,79,cluster0
73,4,71,cluster0
74,1.983,62,cluster1
75,5.067,76,cluster0
76,2.017,60,cluster1
77,4.567,78,cluster0
78,3.883,76,cluster0
79,3.6,83,cluster0
80,4.133,75,cluster0
81,4.333,82,cluster0
82,4.1,70,cluster0
83,2.633,65,cluster1
84,4.067,73,cluster0
85,4.933,88,cluster0
86,3.95,76,cluster0
87,4.517,80,cluster0
88,2.167,48,cluster1
89,4,86,cluster0
90,2.2,60,cluster1
91,4.333,90,cluster0
92,1.867,50,cluster1
93,4.817,78,cluster0
94,1.833,63,cluster1
95,4.3,72,cluster0
96,4.667,84,cluster0
97,3.75,75,cluster0
98,1.867,51,cluster1
99,4.9,82,cluster0
100,2.483,62,cluster1
101,4.367,88,cluster0
102,2.1,49,cluster1
103,4.5,83,cluster0
104,4.05,81,cluster0
105,1.867,47,cluster1
106,4.7,84,cluster0
107,1.783,52,cluster1
108,4.85,86,cluster0
109,3.683,81,cluster0
110,4.733,75,cluster0
111,2.3,59,cluster1
112,4.9,89,cluster0
113,4.417,79,cluster0
114,1.7,59,cluster1
115,4.633,81,cluster0
116,2.317,50,cluster1
117,4.6,85,cluster0
118,1.817,59,cluster1
119,4.417,87,cluster0
120,2.617,53,cluster1
121,4.067,69,cluster0
122,4.25,77,cluster0
123,1.967,56,cluster1
124,4.6,88,cluster0
125,3.767,81,cluster0
126,1.917,45,cluster1
127,4.5,82,cluster0
128,2.267,55,cluster1
129,4.65,90,cluster0
130,1.867,45,cluster1
131,4.167,83,cluster0
132,2.8,56,cluster1
133,4.333,89,cluster0
134,1.833,46,cluster1
135,4.383,82,cluster0
136,1.883,51,cluster1
137,4.933,86,cluster0
138,2.033,53,cluster1
139,3.733,79,cluster0
140,4.233,81,cluster0
141,2.233,60,cluster1
142,4.533,82,cluster0
143,4.817,77,cluster0
144,4.333,76,cluster0
145,1.983,59,cluster1
146,4.633,80,cluster0
147,2.017,49,cluster1
148,5.1,96,cluster0
149,1.8,53,cluster1
150,5.033,77,cluster0
151,4,77,cluster0
152,2.4,65,cluster1
153,4.6,81,cluster0
154,3.567,71,cluster0
155,4,70,cluster0
156,4.5,81,cluster0
157,4.083,93,cluster0
158,1.8,53,cluster1
159,3.967,89,cluster0
160,2.2,45,cluster1
161,4.15,86,cluster0
162,2,58,cluster1
163,3.833,78,cluster0
164,3.5,66,cluster0
165,4.583,76,cluster0
166,2.367,63,cluster1
167,5,88,cluster0
168,1.933,52,cluster1
169,4.617,93,cluster0
170,1.917,49,cluster1
171,2.083,57,cluster1
172,4.583,77,cluster0
173,3.333,68,cluster0
174,4.167,81,cluster0
175,4.333,81,cluster0
176,4.5,73,cluster0
177,2.417,50,cluster1
178,4,85,cluster0
179,4.167,74,cluster0
180,1.883,55,cluster1
181,4.583,77,cluster0
182,4.25,83,cluster0
183,3.767,83,cluster0
184,2.033,51,cluster1
185,4.433,78,cluster0
186,4.083,84,cluster0
187,1.833,46,cluster1
188,4.417,83,cluster0
189,2.183,55,cluster1
190,4.8,81,cluster0
191,1.833,57,cluster1
192,4.8,76,cluster0
193,4.1,84,cluster0
194,3.966,77,cluster0
195,4.233,81,cluster0
196,3.5,87,cluster0
197,4.366,77,cluster0
198,2.25,51,cluster1
199,4.667,78,cluster0
200,2.1,60,cluster1
